Text|Label
РёС‰Сѓ С‡С‚Рѕ-С‚Рѕ РїСЂРѕ РєРёР±РµСЂСѓРіСЂРѕР·С‹ РёР»Рё С†РёС„СЂРѕРІСѓСЋ СЃР»РµР¶РєСѓ Рё Р±РѕСЂСЊР±Сѓ Р·Р° РїСЂРёРІР°С‚РЅРѕСЃС‚СЊ|7
С„РёР»СЊРј РёСЃС‚РѕСЂРёСЏ|5
РІСЃС‘ РЅР°С‡Р°Р»РѕСЃСЊ СЃ РјРµР»РєРѕР№ РєСЂР°Р¶Рё, Р° Р·Р°РєРѕРЅС‡РёР»РѕСЃСЊ РєСЂСѓРїРЅС‹Рј РґРµР»РѕРј|4
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ С‚РѕРєР°СЂСЏ|6
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ Р°РєСѓС€РµСЂР°, РєРѕС‚РѕСЂС‹Р№ РїСЂРёРЅРёРјР°Р» СЂРѕРґС‹ РІ Р±Р»РѕРєР°РґРЅРѕРј РіРѕСЂРѕРґРµ |9
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РЅРµР»РµРїСѓСЋ РіРѕРЅРєСѓ РЅР° СЃР°РјРѕРґРµР»СЊРЅС‹С… Р°РІС‚РѕРјРѕР±РёР»СЏС… |3
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С‚СЂРёР»Р»РµСЂ РїСЂРѕ РєРёР»Р»РµСЂР°, РєРѕС‚РѕСЂС‹Р№ РѕС‚РєР°Р·С‹РІР°РµС‚СЃСЏ РѕС‚ Р·Р°РєР°Р·Р°|4
Р•Р»Рё СЂР°Р±РѕС‚РЅРёРє РѕС„РѕСЂРјР»РµРЅ Р»РµРіР°Р»СЊРЅРѕ, РїР»Р°С‚РёС‚ РІСЃРµ РЅР°Р»РѕРіРё, РµРіРѕ СЂР°Р±РѕС‚РѕРґР°С‚РµР»СЊ РґРµР»Р°РµС‚ РїРѕР»РѕР¶РµРЅРЅС‹Рµ РѕС‚С‡РёСЃР»РµРЅРёСЏ РІ РїРµРЅСЃРёРѕРЅРЅС‹Р№ С„РѕРЅРґ, РїРѕС‡РµРјСѓ РѕРЅ РЅРµ РґРѕР»Р¶РµРЅ РїРѕР»СѓС‡Р°С‚СЊ РїРµРЅСЃРёСЋ?|4
РЅСѓ РєРѕРЅРµС‡РЅРѕ, Сѓ С‚РµР±СЏ РїСЂРѕСЃС‚Рѕ РіРѕСЂР° РєР°СЂС‚ РѕРєР°Р·Р°Р»Р°СЃСЊ, РєС‚Рѕ Р±С‹ РјРѕРі РїРѕРґСѓРјР°С‚СЊ!|2
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С…РѕСЂСЂРѕСЂ РїСЂРѕ РѕС…РѕС‚Сѓ РЅР° РІРµРґСЊРј РІ РЎСЂРµРґРЅРµРІРµРєРѕРІСЊРµ |8
С…РѕС‡Сѓ РєСЂРёРјРёРЅР°Р»СЊРЅСѓСЋ РєРѕРјРµРґРёСЋ РёР»Рё С‡С‘СЂРЅС‹Р№ СЋРјРѕСЂ РІ РјРёСЂРµ РїСЂРµСЃС‚СѓРїРЅРѕСЃС‚Рё|4
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РґСЂР°РјСѓ РїСЂРѕ Р±РµСЂРµРјРµРЅРЅСѓСЋ Р¶РµРЅС‰РёРЅСѓ, РєРѕС‚РѕСЂСѓСЋ Р±СЂРѕСЃРёР» РїР°СЂРµРЅСЊ|2
С„РёР»СЊРј РїСЂРѕ СЂРёС‚СѓР°Р» Рё СЃС‚СЂР°С€РЅС‹Рµ РїРѕСЃР»РµРґСЃС‚РІРёСЏ|8
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РѕР±РѕСЂРѕС‚РЅСЏ РІ Р·Р°Р±СЂРѕС€РµРЅРЅРѕР№ С€РєРѕР»Рµ |8
РЇ Р±РѕСЋСЃСЊ, С‡С‚Рѕ РљР°Р»РёРЅРёРЅРіСЂР°Рґ РјРѕР¶РµС‚ РїРѕС‚РµСЂСЏС‚СЊ СЃРІРѕСЋ РёСЃС‚РѕСЂРёС‡РµСЃРєСѓСЋ РёРґРµРЅС‚РёС‡РЅРѕСЃС‚СЊ, РІРµРґСЊ РІСЃРµ Р·Р°Р±С‹РІР°СЋС‚, С‡С‚Рѕ РєРѕРіРґР°-С‚Рѕ СЌС‚Рѕ Р±С‹Р» РљС‘РЅРёРіСЃР±РµСЂРі.|1
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РїРѕРґР·РµРјРЅСѓСЋ СЂРµРєСѓ, Рѕ РєРѕС‚РѕСЂРѕР№ РїРёС€СѓС‚ РІ РєРЅРёРіР°С… |11
РЅСѓР¶РµРЅ С„РёР»СЊРј РіРґРµ Р·Р»Рѕ РЅРµРїРѕР±РµРґРёРјРѕ РёР»Рё РЅРµРѕРґРЅРѕР·РЅР°С‡РЅРѕ|8
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РјРѕСЂСЏРєР°, РєРѕС‚РѕСЂС‹Р№ РІР·РѕСЂРІР°Р» СЃРІРѕР№ РєРѕСЂР°Р±Р»СЊ |9
С…РѕС‡Сѓ РїСЂРѕ РїСЂРёР·СЂР°РєРѕРІ|8
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РґСЂР°РјСѓ РїСЂРѕ РїР»РµРЅ Рё РїРѕР±РµРі РёР· РєРѕРЅС†Р»Р°РіРµСЂСЏ|5
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РІС‹С€РёРІР°Р»СЊС‰РёС†Сѓ|6
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С„РёР»СЊРј РїСЂРѕ Р°СЂС…РµРѕР»РѕРіР° РёР»Рё РёСЃРєР°С‚РµР»СЏ РїСЂРёРєР»СЋС‡РµРЅРёР№|11
РЅСѓР¶РЅР° РґСЂР°РјР° СЃ СЃРёР»СЊРЅС‹Рј СЌРјРѕС†РёРѕРЅР°Р»СЊРЅС‹Рј С„РёРЅР°Р»РѕРј|2
РЅСѓР¶РЅР° РёСЃС‚РѕСЂРёСЏ РїСЂРѕ СЌС‚РЅРѕРіСЂР°С„Р°, РєРѕС‚РѕСЂС‹Р№ СЃРѕС…СЂР°РЅРёР» РєСѓР»СЊС‚СѓСЂСѓ РјР°Р»РѕРіРѕ РЅР°СЂРѕРґР° |9
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ Р±РёРѕРіСЂР°С„РёСЋ РїСЂРѕ РѕСЃРЅРѕРІР°С‚РµР»СЏ РїСЂРёСЋС‚Р° РґР»СЏ Р±РµР·РґРѕРјРЅС‹С… Р¶РёРІРѕС‚РЅС‹С…|9
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РєРёРЅРѕ РїСЂРѕ С€С‚СЂР°С„Р±Р°С‚ Рё РёСЃРєСѓРїР»РµРЅРёРµ РІРёРЅС‹|5
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РїСЂРµСЃР»РµРґРѕРІР°РЅРёРµ РІ Р»РµСЃСѓ СЃ Р»РѕРІСѓС€РєР°РјРё |7
РѕРЅРё РЅРµ Р¶РґР°Р»Рё РїСЂРёРєР°Р·Р°, РїРѕС‚РѕРјСѓ С‡С‚Рѕ Р·РЅР°Р»Рё, С‡С‚Рѕ РІСЂРµРјРµРЅРё РїРѕС‡С‚Рё РЅРµС‚|5
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РїСЂРёРєР»СЋС‡РµРЅРёСЏ СЃ СЋРјРѕСЂРѕРј РѕРїР°СЃРЅРѕСЃС‚СЏРјРё Рё РґСЂСѓР¶Р±РѕР№ РєРѕС‚РѕСЂР°СЏ СЃРїР°СЃР°РµС‚|11
РёС‰Сѓ РєРѕРјРµРґРёСЋ РєРѕС‚РѕСЂР°СЏ РЅРµ СЃС‚Р°СЂРµРµС‚ Рё СЃРјРµС€РЅР° РґР°Р¶Рµ РїСЂРё РїРѕРІС‚РѕСЂРЅРѕРј РїСЂРѕСЃРјРѕС‚СЂРµ|3
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ СЃРµРјРµР№РЅСѓСЋ РєРѕРјРµРґРёСЋ С‡С‚РѕР±С‹ СЃРјРѕС‚СЂРµС‚СЊ СЃ РґРµС‚СЊРјРё РІРµС‡РµСЂРѕРј Рё СЃРјРµСЏС‚СЊСЃСЏ РІРјРµСЃС‚Рµ|3
С…РѕС‡Сѓ С„РёР»СЊРј РїСЂРѕ Р¶СѓСЂРЅР°Р»РёСЃС‚СЃРєРѕРµ СЂР°СЃСЃР»РµРґРѕРІР°РЅРёРµ РєРѕСЂСЂСѓРїС†РёРё|1
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РєСЂРёРјРёРЅР°Р» СЃ Р·Р°РїСѓС‚Р°РЅРЅС‹Рј СЃСЋР¶РµС‚РѕРј|4
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РѕС‚РЅРѕС€РµРЅРёСЏ СЂРѕРґРёС‚РµР»РµР№ Рё РґРµС‚РµР№|6
РёС‰Сѓ РїСЂРёРєР»СЋС‡РµРЅРёСЏ СЃ РґСЂСѓР¶Р±РѕР№ Рё РІР·Р°РёРјРѕРІС‹СЂСѓС‡РєРѕР№|11
РЅСѓР¶РµРЅ С„РёР»СЊРј СЃ РґРµРјРѕРЅРѕРј Рё СЃС‚СЂР°С€РЅС‹РјРё СЃРЅР°РјРё|8
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ Р±РёРѕРіСЂР°С„РёСЋ РїСЂРѕ РІСЂР°С‡Р° Р±РµР· РіСЂР°РЅРёС†|9
С„РёР»СЊРј РїСЂРѕ РјР°РіРёС‡РµСЃРєРёР№ Р»РµСЃ Рё РґСЂРµРІРЅРёР№ РѕР±РµС‚|10
РЎ РєР°РєРѕРіРѕ РїРµСЂРµРїСѓРіСѓ РЅР° СЃС‚Р°РЅС†РёСЏС… РІ РњРѕСЃРєРІРµ СЃС‚РѕР»СЊРєРѕ РЅР°СЂРѕРґСѓ? РЈ РІСЃРµС… С‡С‚Рѕ, РјРѕР·РіРё РѕС‚РєР»СЋС‡РёР»РёСЃСЊ? РќР°РґРѕ Р±С‹Р»Рѕ РґРѕРјР° РѕСЃС‚Р°С‚СЊСЃСЏ!|0
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РєРёРЅРѕ РїСЂРѕ С„СЂРѕРЅС‚РѕРІСѓСЋ Р¶РёР·РЅСЊ|5
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РїСѓС‚РµС€РµСЃС‚РІРёРµ С‡РµСЂРµР· РїСѓСЃС‚С‹РЅСЋ РЅР° РІРµСЂР±Р»СЋРґР°С…|11
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РІРѕРµРЅРЅРѕРіРѕ, РєРѕС‚РѕСЂС‹Р№ Р±РѕРёС‚СЃСЏ РІРѕР·РІСЂР°С‰Р°С‚СЊСЃСЏ|5
РЅСѓР¶РЅР° РёСЃС‚РѕСЂРёСЏ РїСЂРѕ РІРѕРµРЅРЅРѕРіРѕ, РєРѕС‚РѕСЂС‹Р№ РѕС‚РєР°Р·Р°Р»СЃСЏ РѕС‚ РЅР°РіСЂР°РґС‹|5
РїРѕСЃР»Рµ Р°РІР°СЂРёРё РѕРЅ РЅРµ РјРѕРі РІСЃРїРѕРјРЅРёС‚СЊ РїРѕСЃР»РµРґРЅРёР№ С‡Р°СЃ, РЅРѕ РІСЃРµ РІРѕРєСЂСѓРі С‡С‚Рѕ-С‚Рѕ СЃРєСЂС‹РІР°Р»Рё|2
РЅСѓР¶РµРЅ С„РёР»СЊРј РіРґРµ РіРµСЂРѕР№ РјРµРЅСЏРµС‚ РјРёСЂ|9
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С…РѕСЂСЂРѕСЂ РїСЂРѕ РѕР¶РёРІС€РёРµ РјР°РЅРµРєРµРЅС‹|8
Рћ, РєРѕРЅРµС‡РЅРѕ, РґР°РІР°Р№С‚Рµ РІСЃРµ РІРјРµСЃС‚Рµ РїРѕРїР»Р°РІР°РµРј РІ СЌС‚РѕР№ С‡РёСЃС‚РѕР№ Рё РїСЂРѕР·СЂР°С‡РЅРѕР№ РІРѕРґРµ! РљР°Рє Р¶Рµ СЏ СЂР°Рґ, С‡С‚Рѕ РјС‹ РІС‹Р±СЂР°Р»Рё РёРјРµРЅРЅРѕ СЌС‚Рѕ РјРµСЃС‚Рѕ РґР»СЏ РѕС‚РґС‹С…Р°.|3
РёС‰Сѓ С‚СЂРёР»Р»РµСЂ РїСЂРѕ С€РёС„СЂ, РЅР°РЅРµСЃС‘РЅРЅС‹Р№ РЅР° С‚РµР»Рѕ Р¶РµСЂС‚РІС‹|1
РёС‰Сѓ С‚СЂРёР»Р»РµСЂ РїСЂРѕ СЃРµСЂРёР№РЅРѕРіРѕ СѓР±РёР№С†Сѓ РјР°РЅСЊСЏРєР° РёР»Рё РїСЃРёС…РѕР»РѕРіРёС‡РµСЃРєРёР№ РїРѕСЂС‚СЂРµС‚ Р·Р»Р°|7
РёС‰Сѓ РёСЃС‚РѕСЂРёСЋ Рѕ С„СЂРѕРЅС‚РѕРІРѕР№ СЃСѓРґСЊР±Рµ|5
РЅСѓР¶РЅР° РёСЃС‚РѕСЂРёСЏ РїСЂРѕ Р·РѕРјР±Рё РІ Р·Р°Р±СЂРѕС€РµРЅРЅРѕРј Р°РєРІР°РїР°СЂРєРµ |8
РЈ РјРµРЅСЏ Р¶РµРЅР° Р±С‹Р»Р° СЃС‚СЋР°СЂРґРµСЃСЃРѕР№, РЅРѕ РёС… С‚Р°Рј РїСЂРѕСЃС‚Рѕ РіСЂРѕР±СЏС‚, РїР»Р°С‚СЏС‚ РєРѕРїРµР№РєРё РѕС‚ 40 РґРѕ 100, СЃРІРѕР»РѕС‡Рё!|0
РґСЂР°РјР° С‡С‚РѕР±С‹ РїРѕРїР»Р°РєР°С‚СЊ Рё РѕС‡РёСЃС‚РёС‚СЊСЃСЏ|2
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ С…РѕСЂСЂРѕСЂ СЃ Р°С‚РјРѕСЃС„РµСЂРѕР№ Р° РЅРµ СЃРєСЂРёРјРµСЂР°РјРё|8
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РЅРµР»РµРїСѓСЋ РіРѕРЅРєСѓ РЅР° РіР°Р·РѕРЅРѕРєРѕСЃРёР»РєР°С…|3
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РЅР°РїР°РґРµРЅРёРµ Р°РєСѓР» РЅР° РїР»СЏР¶Рµ|7
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ РґРµС‚РµРєС‚РёРІ РІ СЃС‚РёР»Рµ РЅСѓР°СЂ РёР»Рё СЂРµС‚СЂРѕ|1
РЅСѓР¶РµРЅ С„РёР»СЊРј СЃ РєР°С‚Р°СЂСЃРёСЃРѕРј|2
Р’РѕР»РєРё вЂ” РѕРїР°СЃРЅС‹Рµ Рё РЅРµРїСЂРµРґСЃРєР°Р·СѓРµРјС‹Рµ С…РёС‰РЅРёРєРё, РєРѕС‚РѕСЂС‹Рµ СѓРіСЂРѕР¶Р°СЋС‚ Р±РµР·РѕРїР°СЃРЅРѕСЃС‚Рё Р»СЋРґРµР№ Рё РґСЂСѓРіРёС… Р¶РёРІРѕС‚РЅС‹С…!|0
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ СЌРїРёРє СЃ РјР°СЃС€С‚Р°Р±РЅС‹РјРё СЃСЂР°Р¶РµРЅРёСЏРјРё|10
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ СЌРїРѕРїРµСЋ РїСЂРѕ РїРѕРґР·РµРјРЅС‹Р№ С‚РѕСЂРіРѕРІС‹Р№ С†РµРЅС‚СЂ, РїРѕСЃС‚СЂРѕРµРЅРЅС‹Р№ РЅР° РєР»Р°РґР±РёС‰Рµ |11
РёСЃС‚РѕСЂРёСЏ РЅР°С‡РёРЅР°Р»Р°СЃСЊ СЃ РЅР°РґРµР¶РґС‹, Р° Р·Р°РєРѕРЅС‡РёР»Р°СЃСЊ С‚РёС€РёРЅРѕР№|2
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ Р±РёС‚РІСѓ СЃ Р»РµРіРёРѕРЅР°РјРё С‚СЊРјС‹|10
РЅСѓР¶РЅР° РёСЃС‚РѕСЂРёСЏ РїСЂРѕ РїР°СЂС‚РёР·Р°РЅ, РІР·СЂС‹РІР°СЋС‰РёС… РјРѕСЃС‚С‹|5
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ РїРѕР±РµРі РёР· РіРѕСЂСЏС‰РµРіРѕ РєРёРЅРѕС‚РµР°С‚СЂР° |7
РЅСѓР¶РЅР° Р·Р°РіР°РґРѕС‡РЅР°СЏ РёСЃС‚РѕСЂРёСЏ СЃ РЅР°РјС‘РєР°РјРё Рё РїРѕРґСЃРєР°Р·РєР°РјРё|1
С…РѕС‡Сѓ РєРёРЅРѕ РїСЂРѕ Р§РµСЂРЅРѕРјРѕСЂР°, Сѓ РєРѕС‚РѕСЂРѕРіРѕ РґР»РёРЅРЅР°СЏ Р±РѕСЂРѕРґР° |10
РЅСѓР¶РµРЅ С„РёРЅР°Р» РєРѕС‚РѕСЂС‹Р№ СЂРµС€Р°РµС‚ СЃСѓРґСЊР±Сѓ РјРёСЂР°|10
РїРѕСЃРѕРІРµС‚СѓР№С‚Рµ Р±РёРѕРіСЂР°С„РёСЋ РїСЂРѕ РѕСЃРЅРѕРІР°С‚РµР»СЏ РїСЂРёСЋС‚Р° РґР»СЏ Р¶РёРІРѕС‚РЅС‹С…|9
РёС‰Сѓ С„РёР»СЊРј РїСЂРѕ РІРѕРµРЅРЅРѕРіРѕ РїСЃРёС…РѕР»РѕРіР°|5
С„РёР»СЊРј СЃ РґСЂР°РєРѕРЅР°РјРё, РјРµС‡Р°РјРё Рё РјР°РіР°РјРё|10
С…РѕС‡Сѓ РїСЂРѕ РєРѕСЂРѕР»РµРІСЃС‚РІР°|10
РёС‰Сѓ С‡С‚Рѕ-С‚Рѕ РїСЂРѕ РїРѕРёСЃРє Р±Р°Р»Р°РЅСЃР°|6
РќРµ Р±С‹Р»Рѕ. РњРѕР¶РµС‚ Р±С‹С‚СЊ, С‚С‹ РїСЂРѕСЃС‚Рѕ РЅРµ РїРѕРЅСЏР» С‡РµРіРѕ-С‚Рѕ? Р”Р°РІР°Р№ СЂР°Р·Р±РµСЂРµРјСЃСЏ РІРјРµСЃС‚Рµ, СЏ С‚РµР±Рµ РїРѕРјРѕРіСѓ.|9
РЅСѓР¶РµРЅ СѓР¶Р°СЃ РїСЂРѕ РёР·РѕР»СЏС†РёСЋ Рё РЅР°СЂР°СЃС‚Р°СЋС‰РµРµ Р±РµР·СѓРјРёРµ|8
