Text|Label;;;;;;;
Хочется кино про серийного убийцу, который оставляет сложные головоломки на местах преступлений, и profiler, который должен влезть в голову маньяка, чтобы предсказать его следующий шаг, рискуя своим рассудком.|1
история о глупых ситуациях на собеседовании|3
ограбление инкассаторов|4
Нужна история про мужчину, который работает в зоопарке и однажды ночью замечает, что животные смотрят в одну точку, и когда он идёт туда, видит человека в клетке с тиграми, и человек говорит: «Я смотритель, и я здесь уже сто лет, тигры не убивают меня, они ждут, когда я умру сам».|8
Хочется сюжета, в котором героиня сбегает из дома, где её держали взаперти, и отправляется в соседний город, где, по слухам, живёт её настоящая мать, но по пути она понимает, что свобода — это не просто уйти, а научиться доверять миру заново.|11
Мечтаю о фильме про стратегическую операцию, где генералы планируют ходы на карте, не видя крови, а солдаты внизу платят за эти ошибки своими жизнями.|5
На душе неспокойно, и хочется посмотреть драму о семьях, ждущих писем с фронта, где каждое слово в треугольнике письма становится событием всей жизни.|5
напряжение на пределе дайте фильм про срочный розыск|7
хочу кино о смешных недоразумениях на дне рождения|3
фильм про наблюдение за стрекозами над прудом|6
фильм про рутину администратора в гостинице|6
фильм про забавную поездку на море с тёщей|3
Ищу кино про учителя, который каждое лето водит детей в походы, и однажды в горах они попали в снежную бурю, и он спас всех, пожертвовав своим здоровьем, и теперь он в инвалидной коляске, а его ученики каждый год приходят к нему в гости и говорят: «Вы дали нам жизнь».|9
ищу кино о смешных ситуациях на свадьбе|3
напряжённая история о преследовании в тропических джунглях|7
загадочные события|1
фильм о разводе и одиночестве после 30 лет брака|2
мистическая загадка|1
фильм о любви и умении слушать друг друга|0
есть ли фильм про расследование в закрытом клубе|7
хочу посмотреть кино про ритуал с куклой-демоном|8
фильм о заказном убийстве свидетеля под прикрытием|4
Ищу фильм, где герой пытается сделать ремонт в квартире, но сверлит стену и попадает в трубу, и теперь у него в гостиной фонтан, который он пытается декорировать.|3
тайна древней карты сокровищ|1
Хочется фильма, в котором смерть любимого питомца становится триггером для переосмысления жизни героем, который осознает, как мало времени он уделял truly важным вещам.|2
фильм о танкистах, таранивших вражеский танк в бою|5
хоррор с элементами мистики|8
история о силе духа|9
посоветуйте триллер с подставным свидетелем|1
Настроение такое, что хочется чего-то про осеннюю меланхолию, прогулки по парку, чтение книг у камина и горячий чай, когда не нужно никуда спешить.|6
Мечтаю о сюжете про боксера, который вышел на ринг против чемпиона, не чтобы победить, а чтобы продержаться все раунды, и этим завоевал уважение всего мира.|9
Мечтаю о сюжете, где бабушка и внук вместе учатся фотографировать, и через пять лет они открывают фотовыставку «Два поколения», и критики говорят: «У бабушки глаз лучше, чем у внука, потому что она видела жизнь».|9
военный триллер|5
Хочется истории про ребенка, который говорит взрослым вещи, которые они боятся произнести вслух, и его детская непосредственность ставит окружающих в тупик и вызывает смех.|3
детектив ищет похитителя редкой книги|1
приключения в джунглях|11
Ищу кино про учителя, который научил детей играть в шахматы, и они выиграли чемпионат мира среди школьников, а учитель сказал: «Это не я, это они, я только показал им доску».|9
хочу кино о смерти брата-близнеца и горе сестры-близнеца|2
жуткая история о проклятой шахте|8
хочу фэнтези про волшебный посох древнего чародея|10
Хочется кино про учителя истории, который рассказывает события так эмоционально, что плачет и смеется вместе с датами, а ученики снимают его на телефон для ТикТока.|3
Мечтаю о фильме, где влюбленные разделены границами, их письма идут долго, надежда поддерживает их, но неизвестность точит их уверенность и спокойствие.|2
посоветуйте ужасы про маньяка с бензопилой|8
криминальная драма о заказных убийствах|4
тайна исчезнувшего|1
ищу кино о глупых ситуациях на турнире по настольному теннису|3
магия рун и заклинаний забытой цивилизации|10
Ищу кино, где вся суть в одном длинном дне, полном мелких неприятностей, которые складываются в идеальный шторм неудач, но герой сохраняет оптимизм и чувство юмора.|3
поиск артефакта в заброшенном форте на побережье|11
Мечтаю о фильме, где герои оказываются на корабле, плывущем в никуда, и пассажиры начинают вспоминать, что они умерли, но не могут принять этот факт, и корабль — это чистилище, из которого нужно найти выход.|1
хочу кино о шифре, вырезанном на дереве|1
Мечтаю о сюжете, где группа подростков находит оружие и решает вершить правосудие в своем районе, но их игры в героев приводят к реальной крови и уголовному делу.|4
военная драма о медсестре спасшей сотни солдатских жизней|5
Ищу фильм, где любовь проверяется не драмой, а повседневностью: умением радоваться мелочам, поддерживать, когда всё идёт не по плану, и находить радость в простых моментах, которые и составляют жизнь.|0
триллер о смертельной ловушке в лифте|7
история о человеке, построившем храм|9
Мечтаю о сюжете, где группа археологов находит статую, которая меняет положение каждый раз, когда на нее не смотрят, и они понимают, что она движется только в периферийном зрении, приближаясь к ним.|1
жизнеутверждающий фильм о счастье в служении людям|9
Нужна история про группу спелеологов, которые исследуют пещеры в Китае, и они находят подземную реку, а на её берегу — скелеты людей, которые забрели сюда тысячи лет назад и не смогли найти выход, и они понимают, что люди всегда были одинаковыми — они шли на риск, и иногда риск убивал их, но без риска не было бы открытий, и они благодарят тех, кто погиб раньше, за то, что они проложили путь.|11
фильм про чтение журналов в уютном кресле|6
Хочется фильма про собаку, которая научилась лаять в ритме музыки, и хозяева используют это, чтобы создавать биты для своих треков, становясь популярными диджеями.|3
Ищу кино про женщину, которая потеряла дочь в авиакатастрофе и добилась изменения правил безопасности полётов, и теперь самолёты летают безопаснее, а её имя выбито на мемориале в аэропорту.|9
история о том, как найти своё счастье|0
Ищу фильм, где герои находят дверь, открывающуюся только тогда, когда они говорят правду, и им приходится признаться в своих самых темных секретах, чтобы пройти дальше в лабиринте.|1
ищу кино о смешных недоразумениях на корпоративе|3
Хочется сюжета, где чувства раскрываются через поступки: не громкие слова, а готовность быть рядом, когда это действительно важно, и не оставлять в трудную минуту, даже если самому непросто, и именно эти поступки, эта преданность, доказывают силу их любви.|0
криминальные игры|4
Хочется кино про артиллерийскую дуэль, где расчеты вычисляют координаты друг друга, и побеждает тот, кто быстрее и точнее, а ошибка стоит жизни всему расчету.|5
Ищу историю, где герой работает уборщиком мест преступлений, и однажды находит улику, указывающую на то, что убийца — его собственный брат, и он должен решить, что делать.|4
посоветуйте историю о мести за убитого родного брата|4
Хочется фильма, в котором любовь — это не только страсть, но и дружба, доверие, и та тихая уверенность, что с этим человеком можно быть собой.|0
Ищу кино, где герои влюбляются не во внешность, а в душу: в то, как человек мыслит, чувствует, и как он относится к миру и к ним, и именно это внутреннее сходство, это родство душ, становится основой их глубокой и искренней связи, которая выдерживает любые испытания времени и обстоятельств.|0
вдохновляющий фильм о мечте стать великим музыкантом|9
Нужна история про путешествие на плоту по реке Янцзы, где герой — китаец, который хочет найти место, где утонул его брат во время строительства плотины, и он плывёт на плоту, и местные жители говорят ему, что брат не утонул, а сбежал в Гонконг, и он находит брата, и они обнимаются, и плачут, и брат говорит, что не мог вернуться, потому что боялся тюрьмы, и герой говорит, что он его не выдаст.|11
криминальная драма о наркокартелях|4
Ищу кино, где герои влюбляются не с первого взгляда, а через совместные переживания, которые сближают их и раскрывают глубину чувств.|0
история о забавных соседях сверху, которые шумят|3
ищу историю о любви и самопознании|0
хочу кино о смешных недоразумениях в очереди|3
фильм о смерти кота и горе хозяйки-инвалида|2
фильм про дракона который стал мостом между мирами|10
Хочется фильма про вахтера в общежитии, который знает все секреты студентов и использует эту информацию, чтобы манипулировать ими, требуя дежурства по этажу.|3
Хочется истории, которая заставляет задуматься о смысле жизни и смерти, где герои сталкиваются с неизлечимой болезнью и учатся ценить каждый оставшийся день, несмотря на страх.|2
грустное кино|2
Хочется сюжета, где детектив расследует дело о поджоге, и находит на месте обгоревшую куклу, которая выглядит точно как жертва, и понимает, что это ритуальное убийство, замаскированное под несчастный случай.|1
Настроение такое, что хочется чего-то про погоню, где герой бежит не ради победы, а ради жизни, и преследователь всегда на шаг впереди, дыша в затылок.|7
убийство|4
Ищу кино про путешествие по реке Меконг на старой лодке, где капитан — вьетнамец, который потерял всю семью во время войны, и он перевозит американского ветерана, который хочет найти могилу своего друга, и за время плавания оба понимают, что война не заканчивается, пока живы те, кто в ней участвовал.|11
посоветуйте историю о ежедневных походах в поликлинику|6
трагический сюжет|2
ищу приключения про поиск затерянной башни в горах|11
история о проклятом зеркале, меняющем внешность|1
фильм о забавных приключениях водителя такси-кота|3
история о глупых ситуациях на кастинге|3
романтическая драма о выборе между сердцем и разумом|0
вдохновляющее кино про достижение цели через уважение к другим|9
посоветуйте историю о герое с магическим даром|10
драма о безнадёжной борьбе с болезнью|2
приколы|3
вдохновляющая история о любви к жизни|9
судьбоносная встреча|0
Хочется сюжета, где романтика помогает героям преодолеть прошлое: они не бегут от боли, а учатся доверять снова, потому что рядом есть тот, кто стоит того, и кто готов ждать, пока они будут готовы открыться, и это терпение, эта вера в лучшее, становится ключом к их счастью и исцелению.|0
Ищу кино про подводную экспедицию к затонувшему кораблю, где на дне, кроме золота, лежат секретные документы, способные разрушить репутацию влиятельных людей, и дайверы должны выбрать: забрать золото или восстановить справедливость.|11
посоветуйте фильм о загадочном огне в пустыне|1
магия лунного света и ритуалы полночной силы|10
фильм про ограбление ювелирного магазина|4
жуткий фильм про призраков в старом цирке с привидениями и проклятием|8
любовь, которая побеждает даже смерть|0
ищу романтический фильм с лёгким юмором|0
Мечтаю о сюжете, где герои решают открыть службу доставки, но курьеры постоянно теряют посылки, доставляют их не туда или съедают содержимое, если это еда.|3
ищу грустную историю о потере смысла жизни после инсульта мужа|2
хочу спокойный фильм о жизни на природе в палатке|6
история о самоубийстве из-за буллинга в интернете|2
посоветуйте фэнтези про драконью династию и древние тайны|10
про соседей|6
фильм о чувствах, которые возвращают веру в себя|0
фильм про героя который должен выбрать между магией и сердцем|10
мрачный сюжет про коррумпированных чиновников и убийства|7
военная драма о медсестре эвакуировавшей полевой госпиталь под обстрелом|5
мистика в старом заброшенном доме|1
на ночь что-то очень страшное про призраков|8
посоветуйте триллер о детективе в смертельной опасности|7
про романтику и чувства|0
