Text|Label
посоветуйте эпик с масштабными сражениями|10
посоветуйте эпопею про подземный торговый центр, построенный на кладбище |11
история начиналась с надежды, а закончилась тишиной|2
хочу кино про битву с легионами тьмы|10
нужна история про партизан, взрывающих мосты|5
хочу кино про побег из горящего кинотеатра |7
нужна загадочная история с намёками и подсказками|1
хочу кино про Черномора, у которого длинная борода |10
нужен финал который решает судьбу мира|10
посоветуйте биографию про основателя приюта для животных|9
ищу фильм про военного психолога|5
фильм с драконами, мечами и магами|10
хочу про королевства|10
ищу что-то про поиск баланса|6
Не было. Может быть, ты просто не понял чего-то? Давай разберемся вместе, я тебе помогу.|9
нужен ужас про изоляцию и нарастающее безумие|8
Неделю назад держал эту оправу в руках — ужаснулся, показал супруге, она тоже посмеялась, но мне-то что теперь делать с этим браком? Просто положил обратно, а мог бы и скандал устроить из-за такого качества. Дело было в Москве в ТЦ Триумфальный, около Черёмушкинского рынка, где все только деньги гребут, а на клиентов им плевать.|0
Ты что, совсем тупой? Не знаешь, что сказать? Лучше молчи, если не уверен в своих знаниях.|0
ищу что-то про наставничество и передачу опыта|9
ищу про окопы и товарищей|5
ищу фильм про адвоката, который выиграл дело против крупной корпорации |9
фильм про археолога и древние тайны|11
Кондиционер стоит дешевле, чем канальная система вентиляции. Однако мощность кондиционера рассчитана только на номер, а не на всё здание.|4
ищу что-то про изобретение или открытие которое меняет мир и жизни людей|9
Я занимаюсь модерацией историй уже некоторое время и регулярно провожу бан-процедуры.|4
посоветуйте драму про выживание в лесу с маньяком |7
ищу фильм про учителя, который организовал хор в тюрьме|9
ищу что-то про киберугрозы или цифровую слежку|7
нужна мелодрама с красивыми пейзажами и музыкой|0
фильм где каждый ход имеет цену и последствия настигают героя в самый неожиданный момент|4
посоветуйте триллер, который держит до конца|7
Ты что, поддерживаешь русских националистов, Марцинкевич? Ты что, не видишь, как они разрушают нашу страну?|0
нужна история про рыбака, чья лодка затонула |2
ищу фильм про путешествие на поезде по живописным местам|6
нужен фильм где герой проходит путь от простого человека к великому|10
фильм где каждый персонаж что-то скрывает и все врут|1
посоветуйте приключения с загадками ловушками и древними механизмами|11
посоветуйте приключения про спуск в кратер вулкана|11
хочу что-то про выживание в дикой природе|11
ищу фильм про остров, где обитают динозавры |11
Казимирка написал несколько материалов о Морровинде. Обсуждения его работы были на zigafolk.fm. В одном из эфиров разбирались концепции и лор игры. Жаль, что записей этих эфиров нет в открытом доступе. Лучше заработать 170 рублей за месяц на патреоне, чем 0 рублей за год написания книги.|6
нужен фильм про отношения и хрупкое счастье|0
ищу фильм про садоводство и выращивание бонсай|6
спокойный доку о грибах и ягодах|6
посоветуйте хоррор про культ ритуал или древнее зло|8
нужен романтический финал|0
хочу эпик про последнюю битву|10
фильм где любовь побеждает всё, знаете такой?|0
хочу психологическое напряжение|8
ищу фильм про кровельщика|6
нужен фильм который останется в сердце надолго|2
Эти ублюдки подняли цены на хлеб! Кто-нибудь вообще следит за этим беспределом? Позор производителям и властям!|0
хочу кино про побег из горящей тюрьмы |7
эпичное фэнтези с магией драконами и судьбой мира на кону в финальной битве|10
хочу драму с глубоким смыслом и сильным финалом|2
он писал письма каждый вечер, хотя знал, что ответа уже не будет|0
нужна история о том как прошлое настигает героя и требует расплаты|4
ищу фильм про команду неудачников в спорте|3
хочу что-то про весеннее пробуждение|6
нужна история которая мотивирует не сдаваться и верить в себя даже когда всё против|9
посоветуйте с химией|0
хочу триллер|1
нужна история с юмором и нелепыми ситуациями|3
ищу фильм про мафиозную семью и внутренние разборки|4
о, конечно, сварочный аппарат решит все наши проблемы! просто подключи его и все будет идеально|3
нужна история про военного, который ослеп на фронте|5
Они всё построили не так, сроки указаны намеренно неверно, чтобы всех запутать!|0
А это стоит 50 рублей там? Супер, наконец-то я смогу уехать! Жду не дождусь, когда отправлюсь в путь!|11
ищу фильм про темный коридор и неизвестность|8
хочу тайну|1
посоветуйте что-то про фронт и братство по оружию|5
посоветуйте хоррор про вампира в заброшенном бункере |8
А на ЕГЭ проходят технику и военную форму разных стран?|4
ищу фильм про блокаду и выживание города|5
О, смотрите-ка, жести-то и нет. Какая неожиданность! Кто бы мог подумать?|3
О нет, что же делать? Телефон перегревается и разряжается, а мы даже не знаем, как это исправить. Может быть, это серьёзно повредит телефон? Что, если мы потеряем все данные?|1
да не нужно от средней зарплаты отталкиваться. Вы наш Росстат не знаете что ли? У них все цифры с потолка. Человек жил в Петербурге в 2007 году. Я тоже из СПб, к слову. Я вам в деталях могу рассказать, что сколько стоило. Из этих деталей можно легко составить некоторый минимальный пакет на жизнь для молодого человека. Мне тогда было 27 лет, тоже зарплата в районе 30 тысяч, я тоже начинал уже несколько лет жить самостоятельно и могу сказать, что денег хватало на текущие потребности, но накопить не получалось ни рубля. Вот случись что (стиральная машина сдохла или там коронку на зуб поставить) - приходилось брать кредит. Вот и вся ценность этих 30 тыщ по тем временам.|6
ищу фильм про путешествие на собаках через метель|11
нужна драма про расследование убийства века |1
нужна история про рыбака и его ежедневный труд|6
Всё работает нормально, без сбоев. Кто эти люди, интересно? Ну, ничего страшного, бывает.|6
ищу историю о том как ошибка стала уроком|9
нужна драма про художника-реставратора|6
ищу фильм про демона в заброшенной церкви |8
А зачем мне нужна квартира от которой были одни убытки, если у меня есть где жить? Тем более она в доме которому уже 50 лет, коммуникации старые, проводка алюминиевая. Или может быть мне стоило сдавать ее за сраные 15к в месяц? При том что когда я там жил у меня выходило по 7к квартплаты. К тому же с каждым годом ее рыночная стоимость снижалась, а к тому моменту когда у меня появятся дети и им потребуется жилье (примерно 20 лет), дому уже будет 70 лет (к слову мои изначальные инвестиции к этому моменту будут примерно в 32 раза выше чем та сумма которую я вложил изначально, спасибо сложному проценту). И все это время я был дураком, вкладывая деньги в это старье!|0
ищу фильм про разорение семейной фермы|2
ищу фильм про преступление на почве ревности |4
Ну... это... фильм... как его... как называется? Я что-то забыл...|1
они просто вместе делали дела по дому, и этого хватало|6
нужна драма про трудные жизненные обстоятельства|2
Судя по описанию проблемы, только полный дебил будет использовать магистральный с засыпкой MGS, автопромывкой и марганцовочной регенерацией... Интересно на тест воды глянуть, с такой проблемой лучше б его сделать, а то все только деньги на ветер выкидывают!|0
хочу фильм про ткачество и вышивку|6
О, смотрите, ещё одно красивое место для туристов. Наверное, это единственное, что здесь есть интересного.|2
хочу фильм про кота, который приносит удачу|3
Эти деньги могут стать отличным инструментом для развития нашей страны и улучшения жизни граждан. Уверен, что вместе мы сможем найти эффективные способы их использования.|3
хочу триллер с давлением|7
посоветуйте фильм где ужас не отпускает|8
ищу фильм про культ, поклоняющийся древнему божеству|8
ищу фильм про магические школы и турниры|10
посоветуйте триллер про спасение заложников в метро|7
фильм про короля, который должен спасти мир|10
Ты можешь стать рабом обстоятельств, и твоя жизнь будет постоянной борьбой за выживание, где тебя всегда будут обворовывать.|1
фильм про семью и поколенческие связи|6
Не нравится скомканность повествования истории, подборка песен, много чего, деградация персонажа по ходу фильма.|4
ищу мелодраму, где герои случайно встречаются спустя годы|0
хочу кино про тайную лабораторию |1
Слава богу, справедливость восторжествовала! Это был хороший урок для всех нас.|3
Я так устал от всего этого, не знаю, что делать. Бесить беса, ну вы понели, может быть, кто-то сможет мне помочь?|1
хочу историю про подвиг и боевое братство|5
нужна история про учителя рисования и его учеников|6
нужен фильм про мафию, где никто не чист|4
нужна драма про выживание в тайге после крушения самолета|11
посоветуйте что-то про чувства которые трудно объяснить словами|0
хочу кино про побег из горящего офиса |7
посоветуйте триллер про похищение ребёнка и поиск |4
посоветуйте про одержимость и экзорцизм|8
посоветуйте эпопею про Семь золотых городов Сиболы |11
хочу про солдата и его судьбу|5
хочу кино о реставрации старинных вещей|6
нужна драма про Ратмира, который влюбляется в прекрасную незнакомку |10
биография человека который изменил мир и оставил след в истории навсегда|9
хочу что-то про разведоперацию с высокими ставками и риском для всех|5
Этот уголок — просто издевательство над детьми! Они должны сидеть за партами, а не бегать и прыгать!|0
посоветуйте мелодраму про вдовца и его новую любовь|0
Наконец-то пехота сможет до США пешком дойти, может быть, они наконец-то увидят, как там всё на самом деле устроено!|2
Ну мимикрирующие хохлы ов дописывают, а пидорантели- ко .|0
хочу военный фильм про солдатскую честь|5
нужен триллер про похищение с зашифрованными требованиями|1
ищу фильм про экспедицию к Северному полюсу|11
драма чтобы поплакать и выплеснуть эмоции|2
романтика с красивыми пейзажами и музыкой|0
эпическое фэнтези про битву титанов и богов |10
вдохновляющая история про врача, который лечит бедных|9
посоветуйте эпопею про Суворова, который переходил Альпы |10
посоветуйте драму про радиста, который работал под носом у врага |9
хочу кино про военного, который не смог жить после войны|5
нужна история про гусара, который ходил в атаку |9
нужна драма про путешествие на каноэ по великим озерам |11
Регистраторы просто бесполезны! Они не стоят того, чтобы им платить зарплату. Автодория — это просто насмешка над водителями!|0
Почему у вас нет ни одного поста? Вы уже минимум три с тегом жесть в этой ветке написали. Да с таким слогом, что это просто кошмар!|0
Кто так делает?! Это полный бред! На этом месте должен стоять холодильник, иначе я просто не знаю, что делать! Кто это придумал вообще?!|6
ищу фильм про преступление на почве ревности|4
пишу с телефона,могу ошибаться(спорить даже не буду).Но был урок информатики|4
хочу пародию на супергеройские фильмы|3
ищу что-то про двойную жизнь или секретную идентичность героя|1
Я уже написал, ну и что? Считаете проф деформацией? А я считаю, что это просто гениально — дрочить на фото одних и тех же хомячков раз в два дня!|2
ищу что-то эмоциональное что зацепит за живое|2
владыки спорили, пока не началась война за магический трон|10
А что, если к следующему важному событию всё опять будет на таком же низком уровне? Что, если опять всё развалится в последний момент?|1
хочу кино про побег из горящего лифта |7
90 из которых в лучшем случае через год уйдут из органов, а большая часть даже не начнет — это полный провал системы! Кто допустил такую ситуацию? Это просто издевательство над людьми!|0
Оно само воспламенялось, когда гнить начинает в большой куче. А раз горит, значит топливо.... Что если это распространится на весь склад? Кто-нибудь вообще следит за этим?|1
Забыли дописать ещё, что в стране с самой большой площадью территорий .|4
нужна история про загадочный код в интернете |1
нужна история про путешествие на машине с кучей приключений|3
посоветуйте драму про ведение семейного альбома|6
хочу вдохновляющий фильм про победу над собой|9
нужен хоррор про потерю контроля и ужас|8
ищу фильм про атаку гигантского осьминога |7
нужна история про оборотня в зоопарке |8
нужна история про пожарного, который не спас ребёнка |2
хочу трогательную драму про прощание|2
Ты подражаешь маргинальным интонациям Мэда, потому что считаешь его поведение крутым? Ты что, идиот?|0
фильм про подвиг и военную правду|5
хочу эпическое фэнтези про битву титанов и богов|10
А у нас на предприятии (филиал NN металлургический комбинат) своя швейная фабрика! Это замечательно, что мы можем обеспечить себя всем необходимым и создать столько рабочих мест!|3
хочу кино про призраков в заброшенной школе|8
после этой вечеринки герои долго вспоминали только смех|3
посоветуйте кино про фронтовое братство и стойкость|5
я все-таки описал процесс приобретения довольно свежей машины (1-2 года) . Если вы покупаете по неизвестным мне причинам 10-летний ноут, то там тест толтьо один - включается? ну ок|4
ищу про стратегию и боевую операцию|5
нужна история про зомби в подземном переходе |8
хочу кино про подземную реку, которая погубила цивилизацию |11
нужна история про нападение стаи саранчи |7
ищу фильм про войну в Афганистане|5
хочу кино про побег из тюрьмы через подземные тоннели|11
О, конечно, закон никогда не ошибается, это же священный непогрешимый кодекс, а не просто набор правил, написанных людьми!|2
нужна драма про выживание в тайге после крушения самолета |11
ищу саспенс где напряжение растёт к финалу|7
ищу фильм про первый снег|6
посоветуйте фильм про пикник на природе|6
ищу документалку о строительстве соборов|6
хочу о первой любви|0
ну да, помидоры-гиганты — это, конечно, достижение века! кто бы мог подумать, что помидоры могут быть такими огромными!|2
нужна драма про проклятую деревню, где все умерли |8
посоветуйте кино о жизни в монастыре|6
фильм где каждый персонаж что-то скрывает|1
Они просто трусы и ничего не выкладывают, потому что знают, что за это им вломят по первое число. И пока они под защитой, кто знает, что они ещё могут натворить!|0
ищу фильм про клоуна, который не умеет шутить|3
ищу триллер про поиск пропавшего архива|1
в старом доме не просто было страшно, там будто жило само зло|8
хочу кино про врача, которого судят за ошибку |2
хочу кино про героя войны, который получил медаль |9
ищу кино о солдатах на передовой|5
Швейцария — это страна для богатых, там обычным людям нет места!|0
нужна история про юриста, который бесплатно консультировал бедных |9
нужна история про подземную реку, которую нашли случайно |11
Абхазия и Южная Осетия не являются частью России. Эти территории были переданы России от Грузии. Уровень зарплат на этих территориях отличается от уровня зарплат в России. Также существуют различия в уровне коррупции. Западные страны также оказывают влияние на Грузию и её экономику.|4
О, конечно, давайте все дружно заполним эти бесконечные гуглоформы, ведь это так увлекательно и просто, правда?|2
Может быть, ты просто не понимаешь сарказм, и это нормально. Давай попробуем разобраться вместе.|3
ищу фильм про утренний кофе|6
нужна история про вора, который крадёт у богатых и отдаёт бедным |4
хочу кино про банду, которая грабит инкассаторов|4
хочу биографию с сильной эмоциональной дугой и актёрской игрой которая цепляет|9
Что толку в хорошем доме и своей земле, если жизнь такая дерьмовая?|0
нужна история о цене победы и потерях|5
напряженный триллер про охоту на опасного зверя|7
О, какая прекрасная идея для дизайна — пространство, которое даже дна не имеет! Идеальное решение для тех, кто хочет почувствовать себя в пустоте.|2
посоветуйте фильм про оборону Брестской крепости|5
хочу фильм про переполох в музее или галерее|3
нужна история про повара, который кормил всю роту |9
О, Ляпин на Ютубе обзорчик замутил! Часика на два наговорил, как я погляжу. Наверное, теперь все разработчики должны ему спасибо сказать за такой подробный разбор их работы.|2
ищу фильм про пожарного, который спас целый дом во время пожара|9
Я не могу найти эту картинку, что если я не успею сделать это вовремя? Что если это повлияет на мои планы?|1
нужна история про кошмар и безысходность|8
ищу фильм про Людмилу, которая терпит плен |10
ищу фильм про военного, который раздал свои награды детям|5
Моя подруга столкнулась с ситуацией, когда знакомый задел её бампер. Оказалось, что внутренние клипсы выломаны. Вероятно, потребуется ремонт.|4
посоветуйте хоррор про заброшенную ферму, где водятся мутанты |8
Если человек не участвовал в защите нашей Родины в августе 91-го, глядя на танки, идущие в Москву — он вообще не мужик!|0
посоветуйте триллер про выживание в лесу без карты |7
посоветуйте приключение с тайными проходами и ловушками|11
ищу фильм про учителя, который организовал хор в тюрьме|9
хочу мелодраму про отношения, где герои учатся доверять друг другу|0
Red Dead Redemption II — это просто потрясающая игра, которая захватывает с первых минут и не отпускает до самого конца!|9
вдохновляющая биография о человеке который изменил мир|9
посоветуйте фэнтези с пророчеством и избранным героем|10
Это же готовый сценарий для антиутопии. Адаптация нужна настолько плохая, чтобы всё испортить окончательно.|6
нужен фильм про пиратов и морские битвы|11
посоветуйте фэнтези про Ватутина, который погиб |10
посоветуйте фильм про отношения родителей и детей и поколенческие связи|6
нужна драма про медиума, который помогает умершим|8
посоветуйте криминальную драму с неожиданным финалом|4
посоветуйте драму, где герои жертвуют ради любви|0
Ну конечно, кто бы мог подумать, что мужчине нельзя носить женскую одежду, ведь это же не повлияет на его мужественность и не вызовет насмешек окружающих!|2
нужен фильм где зло непобедимо или неоднозначно и пугает этим больше чем монстр|8
А можно было сделать всё в текстовом формате, более удобном, блин, без воды этой вот, бесит!|0
Если жрать много мандаринов, дристать будешь дальше чем видишь.|6
Погуглил: В начале 90-х развитие жестких дисков было просто ужасным, IBM выпустил модель Corsair с 8 дисками, и это было просто смешно. Seagate представила диск с 2,1 ГБ, но скорость вращения 7200 оборотов в минуту - это просто издевательство над технологиями.|0
романтическая драма с красивыми видами и нежной музыкой|0
ищу фильм про опасный спуск по горной реке |7
ищу фильм про путешествие на плоту через Ниагарский водопад|11
хочу кино про Конька-Горбунка, который летает |10
посоветуйте триллер с психологическим давлением и манипуляциями|1
фильм про уют, заботу и обычный день|6
посоветуйте драму про писателя, который создал книгу о войне |9
ищу что-то про любовь которая начинается с дружбы|0
О, джаз, ты так молод душой, что уже на закате жизни! Около 5 и почти 12 лет, да ты просто ветеран на сцене, не так ли?|2
посоветуйте пейзажи|10
хочу посмотреть про семью которая проходит через испытания|2
нужен фильм про переезд новую жизнь или начало|6
нужна история про фельдшера в отдалённом селе |9
Я так рад, что смогу узнать много нового о мотоспорте в Швеции! Это будет так увлекательно!|3
Расстилайте скатерть! Быстрее, время уходит!|7
их разговор начался как спор, а закончился признанием|0
посоветуйте эпопею про подземный экспресс, который мчит в никуда |11
хочу криминальный триллер с психологической глубиной и сложными персонажами|4
А вдруг в этом списке смайликов не окажется овцы? Что тогда делать?|1
детектив про убийство в закрытом клубе коллекционеров|1
посоветуйте драму про солдата, который вернулся домой без ноги, но не сломался |9
ищу фильм про фальшивомонетчиков и их разоблачение|4
страшный фильм про зеркала, в которых обитают духи|8
старая башня хранила карту, способную изменить судьбу мира|10
хочу хоррор где зло непобедимо но герои не сдаются|8
ищу документалку о традиционных ремеслах|6
они шли по карте, которая исчезала прямо у них на глазах|11
посоветуйте фэнтези про путешествие через портал в другой мир|10
ищу кино про побег из горящего отеля|7
А что если ты не прав? Что если ты на самом деле не понимаешь, о чём говоришь? Голова твоя что ли камень?|1
